Time,Energy,Searching
280,-9134.059,4
281,-9173.732,4
282,-9213.829,4
283,-9255.989,4
284,-9296.194,4
285,-9334.702,4
286,-9374.647,4
287,-9416.991,4
288,-9456.582,4
289,-9494.85,4
290,-9534.687,4
291,-9572.73,4
292,-9612.777,4
293,-9652.337,5
294,-9698.329,5
295,-9742.255,5
296,-9788.516,5
297,-9832.798,5
298,-9878.079,5
299,-9923.994,5
300,-9967.425,5
301,-10010.66,5
302,-10062.88,5
303,-10111.54,5
304,-10156.89,5
305,-10205.72,5
306,-10256.3,5
307,-10310.88,5
308,-10365.39,5
309,-8419.37,5
310,-8467.177,5
311,-8519.177,6
312,-8576.923,6
313,-8636.146,6
314,-8693.466,6
315,-6741.391,5
316,-6787.186,5
317,-6832.662,5
318,-6878.594,5
319,-6930.313,5
320,-6985.97,6
321,-7048.606,6
322,-7110.566,6
323,-7170.421,6
324,-7231.56,6
325,-7289.688,6
326,-7350.781,6
327,-7411.802,6
328,-7476.435,6
329,-7542.098,6
330,-5605.754,6
331,-5664.065,6
332,-3718.611,5
333,-3766.142,5
334,-3815.051,5
335,-3863.353,5
336,-3913.685,5
337,-3960.713,5
338,-4009.432,5
339,-4059.309,5
340,-4111.45,5
341,-2162.724,5
342,-2206.189,4
343,-2245.452,4
344,-2284.216,4
345,-2324.298,4
346,-2362.491,4
347,-2401.982,4
348,-2440.151,4
349,-478.7404,4
350,-514.7455,4
351,-552.0239,4
352,-588.0958,4
353,-625.1067,4
354,-661.1683,4
355,1303.723,5
356,1266.794,5
357,1230.186,5
358,1192.33,5
359,1153.808,5
360,1115.494,5
361,1076.895,5
362,1038.329,5
363,999.8588,5
364,962.6792,5
365,919.3093,5
366,877.2584,5
367,832.8809,5
368,788.7551,5
369,745.4833,5
370,701.8433,5
371,655.3285,5
372,611.7397,5
373,564.9681,5
374,520.5643,5
375,481.0309,5
376,435.382,5
377,389.5382,5
378,342.412,5
379,296.8814,5
380,247.2388,5
381,198.1541,5
382,149.263,5
383,98.23881,5
384,46.34585,5
385,-3.981561,5
386,-53.88365,5
387,-105.4023,5
388,-154.5385,5
389,-207.2282,5
390,-257.9059,5
391,-310.6915,5
392,-363.2202,6
393,1584.241,6
394,1533.389,6
395,1482.728,6
396,1434.073,6
397,1384.117,6
398,1335.208,6
399,1281.928,6
400,1230.859,6
401,1174.352,6
402,1116.852,6
